#List - Depth of Reading below Surface - Latest @ 2022-02-02 11:30 (UTC-07:00),,,,,,
Data Set Id,Location,Location Folder,Start of Record,End of Record,Value,Status
Well Depth.Field Visits@25-67-34ccd,Platte County #2,All Locations.Ground Water.Platte County,2013-10-09 11:45:00,2021-11-08 11:15:00,42.09,-
Well Depth.Field Visits@24-67-21aab,Ed Preuit,All Locations.Ground Water.Platte County,2013-10-09 11:13:59,2021-11-08 10:50:00,42.04361,-
Well Depth.Field Visits@24-68-10aaa,Platte County #7B,All Locations.Ground Water.Platte County,2013-10-09 10:25:00,2021-11-08 10:30:00,42.07306,-
Well Depth.Field Visits@26-68-31aaa,Platte County #7,All Locations.Ground Water.Platte County,2013-10-09 09:45:00,2021-11-08 10:15:00,42.10361,-
Well Depth.Field Visits@15-73-12dbb,Huntoon #2,All Locations.Ground Water.Albany County,2013-11-25 10:25:00,2021-11-22 13:40:00,41.28402,-
Well Depth.Field Visits@24-68-20bbb,Platte County #8,All Locations.Ground Water.Platte County,2013-10-09 09:20:00,2021-11-08 10:00:00,42.045,-
Well Depth.Field Visits@15-73-01dba,Huntoon #1,All Locations.Ground Water.Albany County,2013-11-25 09:59:00,2021-11-22 13:20:00,41.2975,-
Well Depth.Field Visits@24-68-22aab,Platte County #1A,All Locations.Ground Water.Platte County,2013-10-09 08:30:59,2021-11-08 09:25:00,42.04611,-
Well Depth.Field Visits@51-63-4ada,VISTA WEST NO. 2,All Locations.Ground Water.Madison,2013-06-18 13:40:00,2021-11-19 10:30:00,44.43783,-
Well Depth.Field Visits@50-63-11cda,CCMOW-7 (Madison),All Locations.Ground Water.Madison,2013-06-18 13:44:00,2021-11-18 15:43:00,44.32869,-
Well Depth.Field Visits@48-61-36caa02,Weston County #1A,All Locations.Ground Water.Madison,2013-06-21 09:10:00,2021-11-19 11:50:00,44.13156,-
Well Depth.Field Visits@49-62-36cbc02,CCMOW-6A (Minnelusa),All Locations.Ground Water.Madison,2013-06-20 15:04:59,2021-11-19 11:20:00,44.18689,-
Well Depth.Field Visits@49-62-36cbc01,CCMOW-6 (Madison),All Locations.Ground Water.Madison,2013-06-20 15:45:00,2021-11-19 11:20:00,44.18689,-
Well Depth.Field Visits@50-62-16ccb,CCMOW-8,All Locations.Ground Water.Madison,2013-06-20 15:52:00,2021-11-18 15:55:00,44.31647,-
Well Depth.Field Visits@53-61-32ddd02,CCMOW-5 (Madison),All Locations.Ground Water.Madison,2013-06-20 10:44:59,2021-11-18 15:10:00,44.53247,-
Well Depth.Field Visits@57-65-15dac,U.S.G.S. M-1,All Locations.Ground Water.Madison,2014-12-03 10:30:00,2021-11-19 08:35:00,44.92894,-
Well Depth.Field Visits@53-61-32ddd01,CCMOW-5A (Minnelusa),All Locations.Ground Water.Madison,2013-06-20 10:34:59,2021-11-18 15:10:00,44.53247,-
Well Depth.Field Visits@45-74-36dac,CBM-MON-6 (Murray),All Locations.Ground Water.Gillette Area,2012-12-12 12:00:00,2021-11-18 08:15:00,43.82861,-
Well Depth.Field Visits@46-74-12ccc02,CBM-MON-5W (Barrett),All Locations.Ground Water.Gillette Area,2013-11-05 11:42:59,2020-10-06 17:30:00,43.97111,-
Well Depth.Field Visits@49-73-03cbd02,CBM-MON-2W (Bennor),All Locations.Ground Water.Gillette Area,2013-11-05 08:52:59,2021-05-25 17:20:00,44.24942,-
Well Depth.Field Visits@50-73-28cac,Jim Kintz Well,All Locations.Ground Water.Gillette Area,2014-06-05 11:00:00,2021-11-18 10:35:00,44.27889,-
Well Depth.Field Visits@49-72-04ada,South Campus No. 1,All Locations.Ground Water.Gillette Area,2013-11-06 12:00:00,2021-11-18 09:45:00,44.25639,-
Well Depth.Field Visits@49-72-5ccc,G-MON-3 (Doud Well),All Locations.Ground Water.Gillette Area,2013-06-13 13:21:59,2021-11-18 09:20:00,44.24806,-
Well Depth.Field Visits@49-73-26abc,G-MON-8 (Bell Road),All Locations.Ground Water.Gillette Area,2013-11-06 14:10:00,2021-11-18 09:05:00,44.19833,-
Well Depth.Field Visits@48-73-36bca02,CBM-MON-3W (Tripp),All Locations.Ground Water.Gillette Area,2013-11-05 15:11:00,2021-11-18 08:55:00,44.09603,-
Well Depth.Field Visits@47-73-16cba02,CBM-MON-4W (Davis),All Locations.Ground Water.Gillette Area,2013-11-05 14:19:00,2021-11-18 08:40:00,44.04811,-
Well Depth.Field Visits@49-74-36ddc02,CBM-MON-1W (Saunders),All Locations.Ground Water.Gillette Area,2013-11-05 10:24:00,2021-11-18 07:25:00,44.1725,-
Well Depth.Field Visits@48-73-36bca01,CBM-MON-3C (Tripp),All Locations.Ground Water.Gillette Area,2013-11-05 12:00:00,2020-05-19 12:00:00,44.09603,-
Well Depth.Field Visits@47-73-16cba01,CBM-MON-4 (Davis),All Locations.Ground Water.Gillette Area,2013-11-05 13:59:00,2020-05-19 11:30:00,44.04997,-
Well Depth.Field Visits@49-73-03cbd01,CBM-MON-2 (Bennor),All Locations.Ground Water.Gillette Area,2013-11-05 08:34:00,2018-10-23 13:00:00,44.24978,-
Well Depth.Field Visits@49-73-03cbd03,CBM-MON-2G (Bennor),All Locations.Ground Water.Gillette Area,2018-05-30 11:55:00,2018-10-23 12:45:00,44.24978,-
Well Depth.Field Visits@46-74-12ccc03,CBM-MON-5G (Barrett),All Locations.Ground Water.Gillette Area,2015-06-03 12:54:00,2018-10-23 10:00:00,43.97111,-
Well Depth.Field Visits@46-74-12ccc01,CBM-MON-5 (Barrett),All Locations.Ground Water.Gillette Area,2014-06-03 12:00:00,2018-10-23 10:00:00,43.97111,-
Well Depth.Field Visits@49-74-36ddc03,CBM-MON-1G (Saunders),All Locations.Ground Water.Gillette Area,2015-12-02 08:38:00,2018-05-30 13:00:00,44.1725,-
Well Depth.Field Visits@49-74-36ddc01,CBM-MON-1 (Saunders),All Locations.Ground Water.Gillette Area,2013-11-05 10:02:00,2018-05-30 13:00:00,44.171944,-
Well Depth.Field Visits@52-73-25bcb,Pine Buttes No. 1,All Locations.Ground Water.Gillette Area,2013-11-06 14:00:00,2018-10-22 16:15:00,44.460833,-
Well Depth.Field Visits@53-60-16dba01,CCMOW-2 (Madison),All Locations.Ground Water.Madison,2014-06-11 08:52:59,2018-05-21 20:00:00,44.58197,-
Well Depth.Field Visits@53-60-16dba02,CCMOW-2A (Minnelusa),All Locations.Ground Water.Madison,2014-06-11 08:49:59,2018-05-21 20:00:00,44.58197,-
Well Depth.Field Visits@27-69-25dad,Cottonwood Creek No. 3,All Locations.Ground Water.Platte County,2015-04-01 11:20:00,2017-05-03 11:45:00,42.28167,-
Well Depth.Field Visits@48-73-36bca03,CBM-MON-3G (Tripp),All Locations.Ground Water.Gillette Area,2015-12-02 10:23:00,2015-12-02 10:23:00,44.09603,-
Well Depth.Field Visits@47-73-16cba03,CBM-MON-4G (Davis),All Locations.Ground Water.Gillette Area,2015-06-15 11:38:00,2017-03-23 16:02:00,44.04997,-
Well Depth.Field Visits@45-74-36dac02,CBM-MON-6G (Murray),All Locations.Ground Water.Gillette Area,2015-12-02 16:55:00,2017-03-23 10:53:00,43.82861,-
Well Depth.Field Visits@14-66-23ddd,Laramie County No. 15,All Locations.Ground Water.Laramie County,2013-10-02 16:35:59,2017-01-19 14:15:00,41.16041,-
Well Depth.Field Visits@56-067-28aab,Cole 41A  Minnelusa,All Locations.Ground Water.Madison,2013-06-19 13:19:59,2016-06-15 12:55:00,44.81511,-
Well Depth.Field Visits@16-61-26 CD-02,Scheel WSW No. 1 Fox Hills,All Locations.Ground Water.Laramie County,2016-10-07 11:25:00,2016-10-07 11:25:00,41.31722,-
Well Depth.Field Visits@13-65-10 ab 01,Shatto Fox Hills,All Locations.Ground Water.Laramie County,2015-01-09 15:00:00,2015-01-09 15:00:00,41.11411,-
Well Depth.Field Visits@16-60-32 dc 01,Fornstrom Fox Hills,All Locations.Ground Water.Laramie County,2016-06-01 11:36:00,2016-09-12 13:48:00,41.30428,-
Well Depth.Field Visits@49-72-13caa,Antelope Valley No.3,All Locations.Ground Water.Gillette Area,2014-12-10 16:44:59,2016-07-26 11:30:00,44.22167,-
Well Depth.Field Visits@14-067-36acb,Pioneer Park,All Locations.Ground Water.Laramie County,2013-10-02 11:16:00,2016-05-19 15:00:00,41.14083,-
Well Depth.Field Visits@15-67-36cd,WYDOT Horse Creek #1,All Locations.Ground Water.Laramie County,2014-05-01 09:43:00,2016-05-19 12:30:00,41.22064,-
Well Depth.Field Visits@20-60-21ddd,CMeiers,All Locations.Ground Water.Lagrange Area,1980-04-30 12:00:00,2016-05-06 08:36:00,41.68061,-
Well Depth.Field Visits@50-72-14cac,Heritage Village No. 1,All Locations.Ground Water.Gillette Area,2014-06-05 12:00:00,2015-12-04 08:26:00,44.31333,-
Well Depth.Field Visits@52-73-36ada03,RCH-2B,All Locations.Ground Water.Gillette Area,2014-06-04 12:00:00,2015-12-03 16:40:00,44.44528,-
Well Depth.Field Visits@46-66-25dbb,Terra Resources,All Locations.Ground Water.Madison,2014-12-04 15:00:00,2015-05-13 09:15:00,43.93611,-
Well Depth.Field Visits@54-61-28caa,Aladdin Water Dist. No. 1,All Locations.Ground Water.Madison,2014-12-03 09:00:00,2015-11-18 14:00:00,44.64105,-
Well Depth.Field Visits@53-65-18bbd,NPS Devils Tower,All Locations.Ground Water.Madison,2014-12-03 08:10:00,2015-11-18 11:45:00,44.58289,-
Well Depth.Field Visits@20-61-25dcc,North Field Well,All Locations.Ground Water.Lagrange Area,2014-04-16 11:03:00,2015-10-28 11:33:00,41.66671,-
Well Depth.Field Visits@20-61-25cbc2,Pump House #2,All Locations.Ground Water.Lagrange Area,2014-04-16 11:10:59,2015-03-31 12:05:00,41.67131,-
Well Depth.Field Visits@20-61-35aab,South Field Well,All Locations.Ground Water.Lagrange Area,2014-04-16 11:13:59,2015-06-30 12:39:00,41.66628,-
Well Depth.Field Visits@20-60-30cdd,Pasture Well,All Locations.Ground Water.Lagrange Area,1980-04-30 00:00:00,2015-10-28 10:49:00,41.66647,-
Well Depth.Field Visits@20-61-24cdd,F. Sanders,All Locations.Ground Water.Lagrange Area,2013-12-12 10:08:00,2015-10-28 10:18:00,41.68081,-
Well Depth.Field Visits@20-61-23bdb2,Rain Station,All Locations.Ground Water.Lagrange Area,2013-12-12 09:56:00,2015-10-28 10:02:00,41.69016,-
Well Depth.Field Visits@20-61-23bbc2,NW of Rain Station,All Locations.Ground Water.Lagrange Area,2014-01-08 10:18:59,2015-10-28 09:44:00,41.62918,-
Well Depth.Field Visits@20-61-15daa,Pump House #1,All Locations.Ground Water.Lagrange Area,2013-12-12 09:20:00,2015-10-28 09:37:00,41.7012,-
Well Depth.Field Visits@20-60-11cdd2,66Mountain well,All Locations.Ground Water.Lagrange Area,2014-01-08 09:36:59,2015-10-28 09:27:00,41.71005,-
Well Depth.Field Visits@14-66-08cbc,Rowley #1,All Locations.Ground Water.Laramie County,2014-05-01 12:59:59,2014-05-01 12:59:59,41.19649,-
Well Depth.Field Visits@51-72-32ddd,Campbell Co. Airport,All Locations.Ground Water.Gillette Area,1985-09-24 12:00:00,2013-11-05 12:00:00,44.35,-
Well Depth.Field Visits@43-95-25cdc,GTW-3,All Locations.Ground Water.Hot Springs County,2013-07-18 06:59:59,2013-07-18 06:59:59,43.65917,-
